Variant,Sent,Opened,Clicked
A2,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
F1,8/13/13 14:20,0,0
A3,8/13/13 14:20,8/13/13 14:20,0
F1,8/13/13 14:20,0,0
A1,8/13/13 14:20,0,0
D3,8/13/13 14:20,0,0
D4,8/13/13 14:20,8/13/13 20:08,0
E3,8/13/13 14:20,8/13/13 14:20,0
B1,8/13/13 14:20,0,0
C2,8/13/13 14:20,0,0
C2,8/13/13 14:20,8/13/13 14:22,0
A2,8/13/13 14:20,0,0
D4,8/13/13 14:20,8/13/13 19:27,0
A3,8/13/13 14:20,8/13/13 15:31,0
C3,8/13/13 14:20,0,0
F2,8/13/13 14:20,8/13/13 14:20,0
B2,8/13/13 14:20,8/13/13 16:47,0
F4,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
E4,8/13/13 14:20,0,0
H1,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
B1,8/13/13 14:20,8/13/13 20:11,0
E2,8/13/13 14:20,0,0
A4,8/13/13 14:20,0,0
D3,8/13/13 14:20,0,0
A2,8/13/13 14:20,0,0
B2,8/13/13 14:20,0,0
D4,8/13/13 14:20,8/13/13 17:05,0
D3,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
E4,8/13/13 14:20,0,0
C2,8/13/13 14:20,0,0
D3,8/13/13 14:20,0,0
G2,8/13/13 14:20,8/13/13 14:23,0
E4,8/13/13 14:20,8/13/13 16:50,0
H1,8/13/13 14:20,0,0
F3,8/13/13 14:20,8/14/13 12:14,0
A4,8/13/13 14:20,8/13/13 22:01,0
C1,8/13/13 14:20,8/14/13 12:58,8/14/13 12:59
B4,8/13/13 14:20,8/13/13 15:32,0
E3,8/13/13 14:20,0,0
A2,8/13/13 14:20,8/13/13 14:24,0
B3,8/13/13 14:20,0,0
C3,8/13/13 14:20,0,0
D1,8/13/13 14:20,0,0
D3,8/13/13 14:20,8/13/13 14:27,0
A4,8/13/13 14:20,0,0
B4,8/13/13 14:20,8/13/13 14:21,0
B1,8/13/13 14:20,0,0
H3,8/13/13 14:20,0,0
E1,8/13/13 14:20,8/13/13 18:54,0
B3,8/13/13 14:20,0,0
E3,8/13/13 14:20,0,0
B3,8/13/13 14:20,0,0
A3,8/13/13 14:20,0,0
D3,8/13/13 14:20,0,0
G1,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
H2,8/13/13 14:20,8/20/13 14:36,0
H1,8/13/13 14:20,0,0
F4,8/13/13 14:20,0,0
A3,8/13/13 14:20,8/15/13 5:27,0
B3,8/13/13 14:20,8/14/13 8:57,0
D3,8/13/13 14:20,8/14/13 7:08,0
E3,8/13/13 14:20,8/14/13 19:07,0
H1,8/13/13 14:20,0,0
F2,8/13/13 14:20,0,0
G4,8/13/13 14:20,0,0
B2,8/13/13 14:20,0,0
A2,8/13/13 14:20,0,0
C2,8/13/13 14:20,0,0
G3,8/13/13 14:20,8/14/13 22:56,0
B1,8/13/13 14:20,0,0
A3,8/13/13 14:20,8/13/13 15:23,0
D2,8/13/13 14:20,8/14/13 4:18,0
D3,8/13/13 14:20,0,0
